N,alpha,beta,lam,rho,sum,windowed_growth,tail_mean,classification
800000,0.98,0.98,0.0001,1.0,3.7607742009401197,1.2880397677497158e-07,1.2795268957089146e-07,divergent
800000,0.98,0.985,0.0001,1.0,3.741953137683291,1.2713514911446567e-07,1.262945953230001e-07,divergent
800000,0.98,0.99,0.0001,1.0,3.723313481797425,1.2548794107476446e-07,1.246579854799564e-07,divergent
800000,0.98,0.995,0.0001,1.0,3.7048534646837363,1.2386207262500282e-07,1.2304258171316904e-07,divergent
800000,0.98,1.0,0.0001,1.0,3.686571336387705,1.2225726735848319e-07,1.2144810929859978e-07,divergent
800000,0.98,1.005,0.0001,1.0,3.668465365390978,1.2067325245277426e-07,1.1987429707010942e-07,divergent
800000,0.98,1.01,0.0001,1.0,3.6505338384142942,1.1910975861411099e-07,1.1832087737340607e-07,divergent
800000,0.98,1.0150000000000001,0.0001,1.0,3.6327750602163946,1.17566520037804e-07,1.1678758602058995e-07,divergent
800000,0.98,1.02,0.0001,1.0,3.615187353399036,1.1604327435761341e-07,1.1527416224528508e-07,divergent
800000,0.985,0.98,0.0001,1.0,3.683493798982545,1.2034960351010593e-07,1.1955038481922859e-07,divergent
800000,0.985,0.985,0.0001,1.0,3.6653575276769104,1.1879030544474922e-07,1.1800116503482142e-07,divergent
800000,0.985,0.99,0.0001,1.0,3.647395541823847,1.1725120823169454e-07,1.1647201912494685e-07,divergent
800000,0.985,0.995,0.0001,1.0,3.6296061499469103,1.1573205022119559e-07,1.1496268702992129e-07,divergent
800000,0.985,1.0,0.0001,1.0,3.61198767834826,1.1423257313625257e-07,1.1347291205812274e-07,divergent
800000,0.985,1.005,0.0001,1.0,3.594538470917209,1.1275252205100728e-07,1.1200244084239458e-07,divergent
800000,0.985,1.01,0.0001,1.0,3.5772568889389693,1.1129164534355863e-07,1.1055102329701341e-07,divergent
800000,0.985,1.0150000000000001,0.0001,1.0,3.5601413109042324,1.0984969464864491e-07,1.0911841257521367e-07,divergent
800000,0.985,1.02,0.0001,1.0,3.5431901323231254,1.0842642481316833e-07,1.0770436502726079e-07,divergent
800000,0.99,0.98,0.0001,1.0,3.6089747586028906,1.1245012347704808e-07,1.1169980576721437e-07,divergent
800000,0.99,0.985,0.0001,1.0,3.5914939223998714,1.1099316701275175e-07,1.1025231220882739e-07,divergent
800000,0.99,0.99,0.0001,1.0,3.574180576758918,1.0955508572678685e-07,1.0882357458406566e-07,divergent
800000,0.99,0.995,0.0001,1.0,3.5570331035960727,1.0813563512808156e-07,1.0741334990342867e-07,divergent
800000,0.99,1.0,0.0001,1.0,3.540049901788609,1.0673457389220876e-07,1.0602139832449165e-07,divergent
800000,0.99,1.005,0.0001,1.0,3.523229386990773,1.0535166381957506e-07,1.0464748311116815e-07,divergent
800000,0.99,1.01,0.0001,1.0,3.5065699914521744,1.0398666979605232e-07,1.0329137059349883e-07,divergent
800000,0.99,1.0150000000000001,0.0001,1.0,3.490070163837743,1.0263935974725857e-07,1.0195283012796093e-07,divergent
800000,0.99,1.02,0.0001,1.0,3.4737283690488785,1.0130950461031408e-07,1.0063163405829068e-07,divergent
800000,0.995,0.98,0.0001,1.0,3.537092657307684,1.0506912021490678e-07,1.043647274290301e-07,divergent
800000,0.995,0.985,0.0001,1.0,3.520239314268215,1.0370778899926325e-07,1.0301228110350014e-07,divergent
800000,0.995,0.99,0.0001,1.0,3.503546977526595,1.0236409426385152e-07,1.0167735928426768e-07,divergent
800000,0.995,0.995,0.0001,1.0,3.487014098856451,1.0103780756658409e-07,1.0035973493189989e-07,divergent
800000,0.995,1.0,0.0001,1.0,3.470639146215403,9.972870340957395e-08,9.905918394754488e-08,divergent
800000,0.995,1.005,0.0001,1.0,3.454420603568316,9.843655922432415e-08,9.777548513486508e-08,divergent
800000,0.995,1.01,0.0001,1.0,3.4383569707159136,9.716115532241166e-08,9.650842016246266e-08,divergent
800000,0.995,1.0150000000000001,0.0001,1.0,3.4224467631222484,9.590227485927195e-08,9.525777352679164e-08,divergent
800000,0.995,1.02,0.0001,1.0,3.4066885117459744,9.465970379909372e-08,9.4023332515549e-08,divergent
800000,1.0,0.98,0.0001,1.0,3.4677293035341807,9.817256683370968e-08,9.751130290083213e-08,divergent
800000,1.0,0.985,0.0001,1.0,3.4514768534127573,9.690058521509837e-08,9.624766326459225e-08,divergent
800000,1.0,0.99,0.0001,1.0,3.4353792204185205,9.564508265855753e-08,9.500039754356611e-08,divergent
800000,1.0,0.995,0.0001,1.0,3.4194349228297285,9.440584570770128e-08,9.376929360173315e-08,divergent
800000,1.0,1.0,0.0001,1.0,3.4036424943697074,9.318266366531435e-08,9.255414205070016e-08,divergent
800000,1.0,1.005,0.0001,1.0,3.388000484038333,9.197532856524138e-08,9.13547362141308e-08,convergent
800000,1.0,1.01,0.0001,1.0,3.3725074559491817,9.078363513308485e-08,9.017087209263496e-08,convergent
800000,1.0,1.0150000000000001,0.0001,1.0,3.357161989164906,8.960738074887953e-08,8.900234832911281e-08,convergent
800000,1.0,1.02,0.0001,1.0,3.3419626775370435,8.844636542637563e-08,8.784896617454653e-08,convergent
800000,1.005,0.98,0.0001,1.0,3.4007724057413826,9.172866925040158e-08,9.110790728592159e-08,convergent
800000,1.005,0.985,0.0001,1.0,3.385095520731703,9.054017336700415e-08,8.992724347025651e-08,convergent
800000,1.005,0.99,0.0001,1.0,3.3695675440610118,8.936707507876118e-08,8.87618785100106e-08,convergent
800000,1.005,0.995,0.0001,1.0,3.3541870573315857,8.820917492680102e-08,8.761161419456657e-08,convergent
800000,1.005,1.0,0.0001,1.0,3.3389526568875674,8.706627604126994e-08,8.647625488063531e-08,convergent
800000,1.005,1.005,0.0001,1.0,3.323862953656677,8.59381840988771e-08,8.535560745901777e-08,convergent
800000,1.005,1.01,0.0001,1.0,3.3089165729935943,8.482470729680446e-08,8.424948132179699e-08,convergent
800000,1.005,1.0150000000000001,0.0001,1.0,3.2941121545227383,8.372565630978545e-08,8.315768832995474e-08,convergent
800000,1.005,1.02,0.0001,1.0,3.2794483519863196,8.264084427582751e-08,8.208004278140669e-08,convergent
800000,1.01,0.98,0.0001,1.0,3.3361152597392367,8.570771971398993e-08,8.512499185863397e-08,convergent
800000,1.01,0.985,0.0001,1.0,3.320989818963392,8.459723049569767e-08,8.402185578250843e-08,convergent
800000,1.01,0.99,0.0001,1.0,3.3060076441849438,8.350112835711076e-08,8.293301407631882e-08,convergent
800000,1.01,0.995,0.0001,1.0,3.2911673773122763,8.241922693115189e-08,8.185828154099058e-08,convergent
800000,1.01,1.0,0.0001,1.0,3.2764676743290106,8.135134226932017e-08,8.079747537630305e-08,convergent
800000,1.01,1.005,0.0001,1.0,3.2619072051410947,8.029729279439568e-08,7.975041514983137e-08,convergent
800000,1.01,1.01,0.0001,1.0,3.2474846534288595,7.925689928964808e-08,7.871692276629009e-08,convergent
800000,1.01,1.0150000000000001,0.0001,1.0,3.2331987164988685,7.82299848565371e-08,7.769682243727337e-08,convergent
800000,1.01,1.02,0.0001,1.0,3.2190481051365,7.721637488864453e-08,7.668994065138684e-08,convergent
800000,1.0150000000000001,0.98,0.0001,1.0,3.273656453230729,8.008195994639866e-08,7.953494779579587e-08,convergent
800000,1.0150000000000001,0.985,0.0001,1.0,3.2590594807598317,7.904435784358288e-08,7.850424904253273e-08,convergent
800000,1.0150000000000001,0.99,0.0001,1.0,3.244600385190306,7.802019862257481e-08,7.748690611622606e-08,convergent
800000,1.0150000000000001,0.995,0.0001,1.0,3.230277865873414,7.700930813934193e-08,7.648274597542766e-08,convergent
800000,1.0150000000000001,1.0,0.0001,1.0,3.2160906356004775,7.601151451643861e-08,7.549159782011934e-08,convergent
800000,1.0150000000000001,1.005,0.0001,1.0,3.2020374204589377,7.502664809289072e-08,7.451329306269181e-08,convergent
800000,1.0150000000000001,1.01,0.0001,1.0,3.1881169596898205,7.405454141147238e-08,7.354766529929882e-08,convergent
800000,1.0150000000000001,1.0150000000000001,0.0001,1.0,3.1743280055462364,7.309502917955957e-08,7.259455028158216e-08,convergent
800000,1.0150000000000001,1.02,0.0001,1.0,3.160669323155088,7.214794824830228e-08,7.16537858887624e-08,convergent
800000,1.02,0.98,0.0001,1.0,3.2132995865870506,7.482545321502166e-08,7.431197884852534e-08,convergent
800000,1.02,0.985,0.0001,1.0,3.1992091928009057,7.385595463855755e-08,7.334896119070862e-08,convergent
800000,1.02,0.99,0.0001,1.0,3.1852515275568054,7.289901669886856e-08,7.239842243142118e-08,convergent
800000,1.02,0.995,0.0001,1.0,3.1714253449320093,7.195447667986965e-08,7.14602008889403e-08,convergent
800000,1.02,1.0,0.0001,1.0,3.157729411840039,7.10221739798067e-08,7.053413697587553e-08,convergent
800000,1.02,1.005,0.0001,1.0,3.1441625078935935,7.010195007486341e-08,6.962007317205088e-08,convergent
800000,1.02,1.01,0.0001,1.0,3.130723425269482,6.91936484931821e-08,6.871785399773794e-08,convergent
800000,1.02,1.0150000000000001,0.0001,1.0,3.117410968573402,6.829711479081624e-08,6.78273259872356e-08,convergent
800000,1.02,1.02,0.0001,1.0,3.1042239547083854,6.741219652204311e-08,6.694833766279108e-08,convergent
